Episode, Reward, Timesteps, Time taken (s)
Episode: 68, Reward: -170.93, Timesteps: 20, Time taken: 47.71 s
Episode: 69, Reward: -2.76, Timesteps: 20, Time taken: 48.41 s
Episode: 70, Reward: -118.53, Timesteps: 20, Time taken: 49.18 s
Episode: 71, Reward: -117.02, Timesteps: 20, Time taken: 49.88 s
Episode: 72, Reward: -131.13, Timesteps: 20, Time taken: 50.58 s
Episode: 73, Reward: -118.49, Timesteps: 20, Time taken: 51.36 s
Episode: 74, Reward: -157.03, Timesteps: 20, Time taken: 52.17 s
Episode: 75, Reward: -116.95, Timesteps: 20, Time taken: 52.87 s
Episode: 76, Reward: -129.56, Timesteps: 20, Time taken: 53.52 s
Episode: 77, Reward: -25.41, Timesteps: 20, Time taken: 54.26 s
Episode: 78, Reward: -144.36, Timesteps: 20, Time taken: 54.9 s
Episode: 79, Reward: -118.01, Timesteps: 20, Time taken: 55.48 s
Episode: 80, Reward: -157.99, Timesteps: 20, Time taken: 56.07 s
Episode: 81, Reward: -151.89, Timesteps: 20, Time taken: 56.78 s
Episode: 82, Reward: -120.31, Timesteps: 20, Time taken: 57.4 s
Episode: 83, Reward: -99.68, Timesteps: 20, Time taken: 58.02 s
Episode: 84, Reward: -168.7, Timesteps: 20, Time taken: 58.67 s
Episode: 85, Reward: -155.36, Timesteps: 20, Time taken: 59.27 s
Episode: 86, Reward: -95.4, Timesteps: 20, Time taken: 59.95 s
Episode: 87, Reward: -2.42, Timesteps: 20, Time taken: 60.59 s
Episode: 88, Reward: -114.2, Timesteps: 20, Time taken: 61.24 s
Episode: 89, Reward: -155.14, Timesteps: 20, Time taken: 61.99 s
Episode: 90, Reward: -89.4, Timesteps: 20, Time taken: 62.72 s
Episode: 91, Reward: -124.16, Timesteps: 20, Time taken: 63.4 s
Episode: 92, Reward: -154.73, Timesteps: 20, Time taken: 64.14 s
Episode: 93, Reward: -114.68, Timesteps: 20, Time taken: 64.88 s
Episode: 94, Reward: -0.03, Timesteps: 1, Time taken: 65.68 s
Episode: 95, Reward: -117.22, Timesteps: 20, Time taken: 66.5 s
Episode: 96, Reward: -174.53, Timesteps: 20, Time taken: 67.19 s
Episode: 97, Reward: -138.96, Timesteps: 20, Time taken: 67.88 s
Episode: 98, Reward: -2.25, Timesteps: 20, Time taken: 68.46 s
Episode: 99, Reward: -146.75, Timesteps: 20, Time taken: 69.25 s
Episode: 100, Reward: -42.54, Timesteps: 20, Time taken: 70.0 s
Episode: 101, Reward: -0.91, Timesteps: 20, Time taken: 70.77 s
Episode: 102, Reward: -144.75, Timesteps: 20, Time taken: 71.55 s
Episode: 103, Reward: -34.64, Timesteps: 20, Time taken: 72.17 s
Episode: 104, Reward: -150.23, Timesteps: 20, Time taken: 72.85 s
Episode: 105, Reward: -123.31, Timesteps: 20, Time taken: 73.53 s
Episode: 106, Reward: -83.36, Timesteps: 20, Time taken: 74.27 s
Episode: 107, Reward: -79.89, Timesteps: 20, Time taken: 74.96 s
Episode: 108, Reward: -151.85, Timesteps: 20, Time taken: 75.56 s
Episode: 109, Reward: -113.7, Timesteps: 20, Time taken: 76.17 s
Episode: 110, Reward: -154.87, Timesteps: 20, Time taken: 76.75 s
Episode: 111, Reward: -139.35, Timesteps: 20, Time taken: 77.32 s
Episode: 112, Reward: -119.43, Timesteps: 20, Time taken: 77.92 s
Episode: 113, Reward: -0.16, Timesteps: 19, Time taken: 78.6 s
Episode: 114, Reward: -117.09, Timesteps: 20, Time taken: 79.29 s
Episode: 115, Reward: -0.24, Timesteps: 5, Time taken: 80.01 s
Episode: 116, Reward: -101.27, Timesteps: 20, Time taken: 80.7 s
Episode: 117, Reward: -102.1, Timesteps: 20, Time taken: 81.37 s
Episode: 118, Reward: -123.79, Timesteps: 20, Time taken: 81.97 s
Episode: 119, Reward: -114.63, Timesteps: 20, Time taken: 82.55 s
Episode: 120, Reward: -54.5, Timesteps: 20, Time taken: 83.19 s
Episode: 121, Reward: -0.42, Timesteps: 11, Time taken: 83.84 s
