Episode, Reward, Timesteps, Time taken (s)
Episode: 290, Reward: -73.93, Timesteps: 1944, Time taken: 863.17 s
Episode: 291, Reward: 61.02, Timesteps: 408, Time taken: 865.55 s
Episode: 292, Reward: -207.21, Timesteps: 3507, Time taken: 868.76 s
Episode: 293, Reward: -504.94, Timesteps: 5714, Time taken: 872.72 s
Episode: 294, Reward: -3.49, Timesteps: 1195, Time taken: 875.16 s
Episode: 295, Reward: -162.92, Timesteps: 2991, Time taken: 878.14 s
Episode: 296, Reward: -19.19, Timesteps: 1337, Time taken: 880.46 s
Episode: 297, Reward: 78.93, Timesteps: 253, Time taken: 882.45 s
Episode: 298, Reward: -13.96, Timesteps: 1305, Time taken: 884.72 s
Episode: 299, Reward: 19.32, Timesteps: 896, Time taken: 887.03 s
Episode: 300, Reward: -485.74, Timesteps: 5502, Time taken: 890.96 s
Episode: 301, Reward: -3.41, Timesteps: 1191, Time taken: 893.35 s
Episode: 302, Reward: -210.24, Timesteps: 3366, Time taken: 896.54 s
Episode: 303, Reward: 34.49, Timesteps: 711, Time taken: 898.86 s
Episode: 304, Reward: 89.16, Timesteps: 125, Time taken: 901.16 s
Episode: 305, Reward: -541.9, Timesteps: 6072, Time taken: 905.49 s
Episode: 306, Reward: -98.75, Timesteps: 2292, Time taken: 908.62 s
Episode: 307, Reward: 52.51, Timesteps: 512, Time taken: 910.88 s
Episode: 308, Reward: -89.86, Timesteps: 2116, Time taken: 913.69 s
Episode: 309, Reward: -111.22, Timesteps: 2203, Time taken: 916.55 s
Episode: 310, Reward: -96.91, Timesteps: 2286, Time taken: 919.34 s
Episode: 311, Reward: -85.05, Timesteps: 1997, Time taken: 922.31 s
Episode: 312, Reward: -181.48, Timesteps: 3150, Time taken: 925.59 s
Episode: 313, Reward: -40.45, Timesteps: 1477, Time taken: 928.28 s
Episode: 314, Reward: 65.8, Timesteps: 405, Time taken: 930.4 s
Episode: 315, Reward: -60.64, Timesteps: 1779, Time taken: 933.5 s
Episode: 316, Reward: -59.08, Timesteps: 1691, Time taken: 936.35 s
Episode: 317, Reward: -452.68, Timesteps: 4948, Time taken: 940.26 s
Episode: 318, Reward: 38.36, Timesteps: 694, Time taken: 942.62 s
Episode: 319, Reward: 18.22, Timesteps: 903, Time taken: 945.0 s
Episode: 320, Reward: 7.23, Timesteps: 1042, Time taken: 947.72 s
Episode: 321, Reward: -7.08, Timesteps: 1227, Time taken: 950.32 s
Episode: 322, Reward: -141.48, Timesteps: 2762, Time taken: 953.63 s
Episode: 323, Reward: -413.86, Timesteps: 4500, Time taken: 957.31 s
Episode: 324, Reward: -152.99, Timesteps: 2726, Time taken: 960.42 s
Episode: 325, Reward: 67.81, Timesteps: 375, Time taken: 962.72 s
Episode: 326, Reward: -95.8, Timesteps: 2166, Time taken: 965.6 s
Episode: 327, Reward: -244.9, Timesteps: 3842, Time taken: 968.95 s
Episode: 328, Reward: -174.69, Timesteps: 3074, Time taken: 972.03 s
Episode: 329, Reward: -53.31, Timesteps: 1774, Time taken: 974.76 s
Episode: 330, Reward: 44.0, Timesteps: 632, Time taken: 977.04 s
Episode: 331, Reward: -362.73, Timesteps: 5027, Time taken: 980.76 s
Episode: 332, Reward: -72.37, Timesteps: 1947, Time taken: 983.51 s
Episode: 333, Reward: 39.5, Timesteps: 694, Time taken: 985.9 s
Episode: 334, Reward: 41.59, Timesteps: 685, Time taken: 988.19 s
Episode: 335, Reward: 65.08, Timesteps: 405, Time taken: 990.45 s
Episode: 336, Reward: 42.78, Timesteps: 656, Time taken: 992.78 s
Episode: 337, Reward: 73.36, Timesteps: 311, Time taken: 995.12 s
Episode: 338, Reward: 33.35, Timesteps: 755, Time taken: 997.51 s
Episode: 339, Reward: 37.14, Timesteps: 676, Time taken: 1000.35 s
Episode: 340, Reward: -248.14, Timesteps: 3948, Time taken: 1003.88 s
Episode: 341, Reward: -195.35, Timesteps: 3311, Time taken: 1007.25 s
Episode: 342, Reward: -430.21, Timesteps: 4806, Time taken: 1011.1 s
Episode: 343, Reward: -487.0, Timesteps: 5411, Time taken: 1015.1 s
Episode: 344, Reward: 42.08, Timesteps: 672, Time taken: 1017.44 s
Episode: 345, Reward: -125.08, Timesteps: 2528, Time taken: 1020.63 s
Episode: 346, Reward: -4.85, Timesteps: 1191, Time taken: 1023.0 s
Episode: 347, Reward: 56.73, Timesteps: 499, Time taken: 1025.36 s
Episode: 348, Reward: 53.04, Timesteps: 495, Time taken: 1027.69 s
Episode: 349, Reward: -293.56, Timesteps: 4361, Time taken: 1031.19 s
Episode: 350, Reward: -13.59, Timesteps: 1308, Time taken: 1033.73 s
Episode: 351, Reward: 17.18, Timesteps: 926, Time taken: 1036.1 s
Episode: 352, Reward: 52.19, Timesteps: 547, Time taken: 1038.51 s
Episode: 353, Reward: -106.43, Timesteps: 2263, Time taken: 1041.38 s
Episode: 354, Reward: 36.59, Timesteps: 738, Time taken: 1043.68 s
Episode: 355, Reward: -469.47, Timesteps: 5202, Time taken: 1047.6 s
Episode: 356, Reward: -89.38, Timesteps: 2176, Time taken: 1050.66 s
Episode: 357, Reward: -239.33, Timesteps: 3797, Time taken: 1053.98 s
Episode: 358, Reward: 16.3, Timesteps: 882, Time taken: 1056.43 s
Episode: 359, Reward: -294.45, Timesteps: 4541, Time taken: 1060.03 s
Episode: 360, Reward: 24.45, Timesteps: 856, Time taken: 1062.43 s
Episode: 361, Reward: -55.77, Timesteps: 1760, Time taken: 1065.05 s
Episode: 362, Reward: -55.78, Timesteps: 1846, Time taken: 1067.77 s
Episode: 363, Reward: 51.36, Timesteps: 519, Time taken: 1070.05 s
Episode: 364, Reward: 26.59, Timesteps: 867, Time taken: 1072.58 s
Episode: 365, Reward: -362.09, Timesteps: 5140, Time taken: 1076.35 s
Episode: 366, Reward: -206.29, Timesteps: 3515, Time taken: 1079.77 s
Episode: 367, Reward: 13.27, Timesteps: 985, Time taken: 1082.3 s
Episode: 368, Reward: 49.66, Timesteps: 578, Time taken: 1084.64 s
